Header Size:	 78	 	 
Pulse Version:	 42	 	 
Decimal Symbol:	.	 	 
Date Format:	dd-MM-yyyy	 	 
Time Format:	HH:mm:ss:mmm	 	 
Data Type:	Complex	 	 
Slice:	False	 	 
Z-Axis type:	Linear	 	 
Z-Axis size:	1	 	 
Z-Axis unit:	 	 	 
Z-Axis first value:	 0.0000000000e+000	 	 
Z-Axis delta:	 1.0000000000e+000	 	 
X-Axis type:	Linear	 	 
X-Axis size:	3201	 	 
X-Axis unit:	Hz	 	 
X-Axis first value:	 7.5000000000e+001	 	 
X-Axis delta:	 6.2500000000e-002	 	 
	 	 	 
AmplitudeUnit:	Pa/Pa	 	 
Analyzer:	FFT_Spectrum_Averaging	 	 
AnalyzerName:	FFT Analyzer	 	 
	 	 	 
	 	 	 
Bipolar:	True	 	 
CenterFrequency:	 1.7500000000e+002	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
dBReference:	 1.0000000000e+000	 	 
	 	 	 
	 	 	 
	 	 	 
Domain:	1	 	 
Function:	Frequency Response	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
MultiBufferName:	Input	 	 
NBW:	 1.5000000000e+000	 	 
	 	 	 
OverlapFailed:	False	 	 
Overrun:	False	 	 
Power:	False	 	 
	 	 	 
Ratio:	True	 	 
RecordLength:	 1.6000000000e+001	 	 
ReducedSize:	True	 	 
Ref_Signal:	p_A_source	 	 
	 	 	 
	 	 	 
RefSignalUnit:	Pa	 	 
	 	 	 
	 	 	 
Signal:	p_B_source	 	 
	 	 	 
SignalUnit:	Pa	 	 
	 	 	 
	 	 	 
	 	 	 
Title:	Frequency Response H1(p_B_source,p_A_source) - Input	 	 
Title1:	Working : Input : Input : FFT Analyzer	 	 
	 	 	 
	 	 	 
	 	 	 
ZoomOn:	True	 	 
	 	 	 
TemplateName:	Working	 	 
MeasurementName:	Input	 	 
MeasurementSlice:	False	 	 
	 	 	 
	 	 	 
	 	 	 
EnvelopeOn:	False	 	 
	 	 	 
	 	 	 
	 	 	 
Z-index:	 	1	 
Date:	 	05-03-2025	 
Time:	 	11:59:19:994	 
Relative time:	 	 0.00000e+000	 
Z-axis:	 	 0.0000000000e+000	 
1	 7.5000000000e+001	 6.66393e-001	 1.75895e-002
2	 7.5062500000e+001	 6.63291e-001	 2.18182e-002
3	 7.5125000000e+001	 6.62051e-001	 1.73076e-002
4	 7.5187500000e+001	 6.60564e-001	 1.70868e-002
5	 7.5250000000e+001	 6.56565e-001	 2.29323e-002
6	 7.5312500000e+001	 6.58429e-001	 2.59077e-002
7	 7.5375000000e+001	 6.62541e-001	 3.48120e-002
8	 7.5437500000e+001	 6.57797e-001	 3.83482e-002
9	 7.5500000000e+001	 6.56226e-001	 3.87734e-002
10	 7.5562500000e+001	 6.58516e-001	 3.76754e-002
11	 7.5625000000e+001	 6.64781e-001	 4.49150e-002
12	 7.5687500000e+001	 6.72531e-001	 4.74789e-002
13	 7.5750000000e+001	 6.83253e-001	 4.48466e-002
14	 7.5812500000e+001	 6.85172e-001	 4.46748e-002
15	 7.5875000000e+001	 6.86825e-001	 4.10938e-002
16	 7.5937500000e+001	 6.90999e-001	 3.76388e-002
17	 7.6000000000e+001	 6.91497e-001	 3.53891e-002
18	 7.6062500000e+001	 6.89957e-001	 3.24937e-002
19	 7.6125000000e+001	 6.88569e-001	 2.80798e-002
20	 7.6187500000e+001	 6.87919e-001	 2.70518e-002
21	 7.6250000000e+001	 6.88065e-001	 2.33578e-002
22	 7.6312500000e+001	 6.90383e-001	 2.39095e-002
23	 7.6375000000e+001	 6.90629e-001	 2.24646e-002
24	 7.6437500000e+001	 6.91674e-001	 2.30140e-002
25	 7.6500000000e+001	 6.91412e-001	 1.77288e-002
26	 7.6562500000e+001	 6.89978e-001	 1.81768e-002
27	 7.6625000000e+001	 6.89563e-001	 2.11828e-002
28	 7.6687500000e+001	 6.86583e-001	 1.91311e-002
29	 7.6750000000e+001	 6.87247e-001	 1.84942e-002
30	 7.6812500000e+001	 6.87456e-001	 1.80679e-002
31	 7.6875000000e+001	 6.87304e-001	 1.88044e-002
32	 7.6937500000e+001	 6.87793e-001	 1.73469e-002
33	 7.7000000000e+001	 6.89788e-001	 1.23502e-002
34	 7.7062500000e+001	 6.86955e-001	 1.82641e-002
35	 7.7125000000e+001	 6.80991e-001	 1.89779e-002
36	 7.7187500000e+001	 6.78179e-001	 1.63011e-002
37	 7.7250000000e+001	 6.82768e-001	 1.68619e-002
38	 7.7312500000e+001	 6.84673e-001	 1.67416e-002
39	 7.7375000000e+001	 6.82584e-001	 1.47246e-002
40	 7.7437500000e+001	 6.81304e-001	 1.96006e-002
41	 7.7500000000e+001	 6.81661e-001	 2.11509e-002
42	 7.7562500000e+001	 6.81092e-001	 2.27453e-002
43	 7.7625000000e+001	 6.84803e-001	 1.96667e-002
