Header Size:	 78	 
Pulse Version:	 42	 
Decimal Symbol:	.	 
Date Format:	dd-MM-yyyy	 
Time Format:	HH:mm:ss:mmm	 
Data Type:	Real	 
Slice:	False	 
Z-Axis type:	Linear	 
Z-Axis size:	1	 
Z-Axis unit:	 	 
Z-Axis first value:	 0.0000000000e+000	 
Z-Axis delta:	 1.0000000000e+000	 
X-Axis type:	Linear	 
X-Axis size:	3201	 
X-Axis unit:	Hz	 
X-Axis first value:	 7.5000000000e+001	 
X-Axis delta:	 6.2500000000e-002	 
	 	 
AmplitudeUnit:	 	 
Analyzer:	FFT_Spectrum_Averaging	 
AnalyzerName:	FFT Analyzer	 
	 	 
	 	 
Bipolar:	False	 
CenterFrequency:	 1.7500000000e+002	 
	 	 
	 	 
	 	 
	 	 
dBReference:	 1.0000000000e+000	 
	 	 
	 	 
	 	 
Domain:	1	 
Function:	Coherence	 
	 	 
InputRange:	 3.5355000000e+001	 
	 	 
	 	 
MultiBufferName:	Input	 
NBW:	 1.5000000000e+000	 
	 	 
OverlapFailed:	False	 
Overrun:	False	 
Power:	True	 
PowerUnit:	 	 
Ratio:	True	 
RecordLength:	 1.6000000000e+001	 
ReducedSize:	True	 
Ref_Signal:	p_A_source	 
	 	 
	 	 
RefSignalUnit:	Pa	 
	 	 
	 	 
Signal:	Pressure C	 
	 	 
SignalUnit:	Pa	 
	 	 
	 	 
	 	 
Title:	Coherence(Pressure C,p_A_source) - Input	 
Title1:	Working : Input : Input : FFT Analyzer	 
	 	 
	 	 
	 	 
ZoomOn:	True	 
	 	 
TemplateName:	Working	 
MeasurementName:	Input	 
MeasurementSlice:	False	 
	 	 
	 	 
	 	 
EnvelopeOn:	False	 
	 	 
	 	 
	 	 
Z-index:	 	1
Date:	 	05-03-2025
Time:	 	12:24:48:943
Relative time:	 	 0.00000e+000
Z-axis:	 	 0.0000000000e+000
1	 7.5000000000e+001	 3.36321e-001
2	 7.5062500000e+001	 4.38684e-001
3	 7.5125000000e+001	 5.78288e-001
4	 7.5187500000e+001	 5.71202e-001
5	 7.5250000000e+001	 8.18856e-001
6	 7.5312500000e+001	 9.40263e-001
7	 7.5375000000e+001	 9.05253e-001
8	 7.5437500000e+001	 8.75088e-001
9	 7.5500000000e+001	 9.35730e-001
10	 7.5562500000e+001	 9.66566e-001
11	 7.5625000000e+001	 9.69662e-001
12	 7.5687500000e+001	 8.82055e-001
13	 7.5750000000e+001	 9.88413e-001
14	 7.5812500000e+001	 9.90747e-001
15	 7.5875000000e+001	 9.72449e-001
16	 7.5937500000e+001	 9.88967e-001
17	 7.6000000000e+001	 9.93050e-001
18	 7.6062500000e+001	 9.77349e-001
19	 7.6125000000e+001	 9.82639e-001
20	 7.6187500000e+001	 9.71905e-001
21	 7.6250000000e+001	 9.68206e-001
22	 7.6312500000e+001	 9.91354e-001
23	 7.6375000000e+001	 9.96963e-001
24	 7.6437500000e+001	 9.94158e-001
25	 7.6500000000e+001	 9.93061e-001
26	 7.6562500000e+001	 9.84423e-001
27	 7.6625000000e+001	 9.79921e-001
28	 7.6687500000e+001	 9.82851e-001
29	 7.6750000000e+001	 9.86081e-001
30	 7.6812500000e+001	 9.89173e-001
31	 7.6875000000e+001	 9.94721e-001
32	 7.6937500000e+001	 9.89270e-001
33	 7.7000000000e+001	 9.81704e-001
34	 7.7062500000e+001	 9.91947e-001
35	 7.7125000000e+001	 9.96600e-001
36	 7.7187500000e+001	 9.96533e-001
37	 7.7250000000e+001	 9.95469e-001
38	 7.7312500000e+001	 9.99353e-001
39	 7.7375000000e+001	 9.96232e-001
40	 7.7437500000e+001	 9.96303e-001
41	 7.7500000000e+001	 9.89428e-001
42	 7.7562500000e+001	 9.39593e-001
43	 7.7625000000e+001	 9.88857e-001
44	 7.7687500000e+001	 9.97684e-001
45	 7.7750000000e+001	 9.96441e-001
46	 7.7812500000e+001	 9.95769e-001
47	 7.7875000000e+001	 9.88082e-001
48	 7.7937500000e+001	 9.71668e-001
49	 7.8000000000e+001	 9.49954e-001
50	 7.8062500000e+001	 9.34875e-001
51	 7.8125000000e+001	 9.83294e-001
52	 7.8187500000e+001	 9.79642e-001
53	 7.8250000000e+001	 9.73104e-001
54	 7.8312500000e+001	 9.34672e-001
55	 7.8375000000e+001	 9.72370e-001
56	 7.8437500000e+001	 9.66654e-001
57	 7.8500000000e+001	 9.73702e-001
58	 7.8562500000e+001	 9.77950e-001
59	 7.8625000000e+001	 9.85817e-001
60	 7.8687500000e+001	 9.86754e-001
61	 7.8750000000e+001	 9.89562e-001
62	 7.8812500000e+001	 9.85850e-001
63	 7.8875000000e+001	 9.97560e-001
64	 7.8937500000e+001	 9.91061e-001
65	 7.9000000000e+001	 9.94743e-001
66	 7.9062500000e+001	 9.96196e-001
67	 7.9125000000e+001	 9.75020e-001
68	 7.9187500000e+001	 9.65662e-001
