Header Size:	 78	 	 
Pulse Version:	 42	 	 
Decimal Symbol:	.	 	 
Date Format:	dd-MM-yyyy	 	 
Time Format:	HH:mm:ss:mmm	 	 
Data Type:	Complex	 	 
Slice:	False	 	 
Z-Axis type:	Linear	 	 
Z-Axis size:	1	 	 
Z-Axis unit:	 	 	 
Z-Axis first value:	 0.0000000000e+000	 	 
Z-Axis delta:	 1.0000000000e+000	 	 
X-Axis type:	Linear	 	 
X-Axis size:	3201	 	 
X-Axis unit:	Hz	 	 
X-Axis first value:	 7.5000000000e+001	 	 
X-Axis delta:	 6.2500000000e-002	 	 
	 	 	 
AmplitudeUnit:	Pa/Pa	 	 
Analyzer:	FFT_Spectrum_Averaging	 	 
AnalyzerName:	FFT Analyzer	 	 
	 	 	 
	 	 	 
Bipolar:	True	 	 
CenterFrequency:	 1.7500000000e+002	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
dBReference:	 1.0000000000e+000	 	 
	 	 	 
	 	 	 
	 	 	 
Domain:	1	 	 
Function:	Frequency Response	 	 
	 	 	 
InputRange:	 2.2376582278e+002	 	 
	 	 	 
	 	 	 
MultiBufferName:	Input	 	 
NBW:	 1.5000000000e+000	 	 
	 	 	 
OverlapFailed:	False	 	 
Overrun:	False	 	 
Power:	False	 	 
	 	 	 
Ratio:	True	 	 
RecordLength:	 1.6000000000e+001	 	 
ReducedSize:	True	 	 
Ref_Signal:	p_A_source	 	 
	 	 	 
	 	 	 
RefSignalUnit:	Pa	 	 
	 	 	 
	 	 	 
Signal:	Pressure C	 	 
	 	 	 
SignalUnit:	Pa	 	 
	 	 	 
	 	 	 
	 	 	 
Title:	Frequency Response H1(Pressure C,p_A_source) - Input	 	 
Title1:	Working : Input : Input : FFT Analyzer	 	 
	 	 	 
	 	 	 
	 	 	 
ZoomOn:	True	 	 
	 	 	 
TemplateName:	Working	 	 
MeasurementName:	Input	 	 
MeasurementSlice:	False	 	 
	 	 	 
	 	 	 
	 	 	 
EnvelopeOn:	False	 	 
	 	 	 
	 	 	 
	 	 	 
Z-index:	 	1	 
Date:	 	05-03-2025	 
Time:	 	12:13:03:985	 
Relative time:	 	 0.00000e+000	 
Z-axis:	 	 0.0000000000e+000	 
1	 7.5000000000e+001	-2.46538e-003	 1.13095e-003
2	 7.5062500000e+001	-2.58203e-003	 1.33794e-003
3	 7.5125000000e+001	-2.62425e-003	 1.30957e-003
4	 7.5187500000e+001	-2.71873e-003	 1.30729e-003
5	 7.5250000000e+001	-2.81370e-003	 1.25913e-003
6	 7.5312500000e+001	-2.84735e-003	 1.26057e-003
7	 7.5375000000e+001	-2.98639e-003	 1.30793e-003
8	 7.5437500000e+001	-3.14094e-003	 1.37717e-003
9	 7.5500000000e+001	-3.18445e-003	 1.61441e-003
10	 7.5562500000e+001	-3.35447e-003	 1.78561e-003
11	 7.5625000000e+001	-3.41550e-003	 1.95019e-003
12	 7.5687500000e+001	-3.42937e-003	 2.30203e-003
13	 7.5750000000e+001	-3.31280e-003	 2.48021e-003
14	 7.5812500000e+001	-3.30230e-003	 2.52302e-003
15	 7.5875000000e+001	-3.23661e-003	 2.73545e-003
16	 7.5937500000e+001	-3.21602e-003	 2.77885e-003
17	 7.6000000000e+001	-3.18896e-003	 2.76381e-003
18	 7.6062500000e+001	-3.15051e-003	 2.84249e-003
19	 7.6125000000e+001	-3.21236e-003	 2.98857e-003
20	 7.6187500000e+001	-3.19395e-003	 2.99568e-003
21	 7.6250000000e+001	-3.14716e-003	 2.98067e-003
22	 7.6312500000e+001	-3.22501e-003	 2.95418e-003
23	 7.6375000000e+001	-3.23656e-003	 2.98204e-003
24	 7.6437500000e+001	-3.18774e-003	 3.12050e-003
25	 7.6500000000e+001	-3.23199e-003	 3.25596e-003
26	 7.6562500000e+001	-3.20806e-003	 3.34028e-003
27	 7.6625000000e+001	-3.51439e-003	 3.38016e-003
28	 7.6687500000e+001	-3.67506e-003	 3.31582e-003
29	 7.6750000000e+001	-3.78750e-003	 3.63273e-003
30	 7.6812500000e+001	-3.80981e-003	 3.84510e-003
31	 7.6875000000e+001	-3.96352e-003	 3.92239e-003
32	 7.6937500000e+001	-4.03222e-003	 3.93530e-003
33	 7.7000000000e+001	-4.00387e-003	 4.00011e-003
34	 7.7062500000e+001	-4.14713e-003	 4.37591e-003
35	 7.7125000000e+001	-4.49652e-003	 4.88896e-003
36	 7.7187500000e+001	-4.65271e-003	 4.89847e-003
37	 7.7250000000e+001	-4.58440e-003	 5.21402e-003
38	 7.7312500000e+001	-4.84527e-003	 5.62610e-003
39	 7.7375000000e+001	-5.26674e-003	 5.72587e-003
40	 7.7437500000e+001	-5.97223e-003	 6.21525e-003
41	 7.7500000000e+001	-6.50681e-003	 6.98684e-003
42	 7.7562500000e+001	-5.79745e-003	 7.70526e-003
