Header Size:	 78	 
Pulse Version:	 42	 
Decimal Symbol:	.	 
Date Format:	dd-MM-yyyy	 
Time Format:	HH:mm:ss:mmm	 
Data Type:	Real	 
Slice:	False	 
Z-Axis type:	Linear	 
Z-Axis size:	1	 
Z-Axis unit:	 	 
Z-Axis first value:	 0.0000000000e+000	 
Z-Axis delta:	 1.0000000000e+000	 
X-Axis type:	Linear	 
X-Axis size:	3201	 
X-Axis unit:	Hz	 
X-Axis first value:	 7.5000000000e+001	 
X-Axis delta:	 6.2500000000e-002	 
	 	 
AmplitudeUnit:	Pa	 
Analyzer:	FFT_Spectrum_Averaging	 
AnalyzerName:	FFT Analyzer	 
	 	 
	 	 
Bipolar:	False	 
CenterFrequency:	 1.7500000000e+002	 
	 	 
	 	 
	 	 
	 	 
dBReference:	 4.0000000000e-010	 
	 	 
	 	 
	 	 
Domain:	1	 
Function:	Autospectrum	 
	 	 
InputRange:	 2.2376582278e+002	 
	 	 
	 	 
MultiBufferName:	Input	 
NBW:	 1.5000000000e+000	 
	 	 
OverlapFailed:	False	 
Overrun:	False	 
Power:	True	 
PowerUnit:	Pa²	 
	 	 
RecordLength:	 1.6000000000e+001	 
ReducedSize:	True	 
	 	 
	 	 
	 	 
	 	 
	 	 
SamplingRatio:	 1.2800000000e+000	 
Signal:	p_B_source	 
	 	 
SignalUnit:	Pa	 
	 	 
	 	 
	 	 
Title:	Autospectrum(p_B_source) - Input	 
Title1:	Working : Input : Input : FFT Analyzer	 
	 	 
	 	 
Weight:	0	 
ZoomOn:	True	 
	 	 
TemplateName:	Working	 
MeasurementName:	Input	 
MeasurementSlice:	False	 
	 	 
DeltaFrequency:	 6.2500000000e-002	 
	 	 
EnvelopeOn:	False	 
	 	 
	 	 
	 	 
Z-index:	 	1
Date:	 	05-03-2025
Time:	 	12:34:02:987
Relative time:	 	 0.00000e+000
Z-axis:	 	 0.0000000000e+000
1	 7.5000000000e+001	 6.78648e-004
2	 7.5062500000e+001	 6.64850e-004
3	 7.5125000000e+001	 9.27733e-004
4	 7.5187500000e+001	 1.16399e-003
5	 7.5250000000e+001	 1.17441e-003
6	 7.5312500000e+001	 1.43416e-003
7	 7.5375000000e+001	 1.48843e-003
8	 7.5437500000e+001	 1.14783e-003
9	 7.5500000000e+001	 8.77986e-004
10	 7.5562500000e+001	 1.29500e-003
11	 7.5625000000e+001	 1.45850e-003
12	 7.5687500000e+001	 1.17269e-003
13	 7.5750000000e+001	 2.23412e-003
14	 7.5812500000e+001	 2.30109e-003
15	 7.5875000000e+001	 9.86858e-004
16	 7.5937500000e+001	 2.28305e-003
17	 7.6000000000e+001	 2.04353e-003
18	 7.6062500000e+001	 1.19932e-003
19	 7.6125000000e+001	 1.17326e-003
20	 7.6187500000e+001	 6.37286e-004
21	 7.6250000000e+001	 1.09555e-003
22	 7.6312500000e+001	 9.78843e-004
23	 7.6375000000e+001	 7.96199e-004
24	 7.6437500000e+001	 1.16533e-003
25	 7.6500000000e+001	 1.28246e-003
26	 7.6562500000e+001	 7.15184e-004
27	 7.6625000000e+001	 1.45753e-003
28	 7.6687500000e+001	 1.29209e-003
29	 7.6750000000e+001	 8.99461e-004
30	 7.6812500000e+001	 1.17350e-003
31	 7.6875000000e+001	 1.12694e-003
32	 7.6937500000e+001	 1.10670e-003
33	 7.7000000000e+001	 5.75163e-004
34	 7.7062500000e+001	 7.52889e-004
35	 7.7125000000e+001	 7.71378e-004
36	 7.7187500000e+001	 7.62292e-004
37	 7.7250000000e+001	 1.01052e-003
38	 7.7312500000e+001	 1.23338e-003
39	 7.7375000000e+001	 9.04990e-004
40	 7.7437500000e+001	 1.00650e-003
41	 7.7500000000e+001	 4.97979e-004
42	 7.7562500000e+001	 2.20057e-004
43	 7.7625000000e+001	 5.18489e-004
44	 7.7687500000e+001	 1.31924e-003
45	 7.7750000000e+001	 1.31858e-003
46	 7.7812500000e+001	 1.93400e-003
47	 7.7875000000e+001	 1.59898e-003
48	 7.7937500000e+001	 1.00672e-003
49	 7.8000000000e+001	 2.83630e-004
50	 7.8062500000e+001	 5.23906e-004
51	 7.8125000000e+001	 1.21755e-003
52	 7.8187500000e+001	 1.57088e-003
53	 7.8250000000e+001	 1.54784e-003
54	 7.8312500000e+001	 1.13324e-003
55	 7.8375000000e+001	 1.06814e-003
56	 7.8437500000e+001	 1.14621e-003
57	 7.8500000000e+001	 9.40802e-004
58	 7.8562500000e+001	 6.35468e-004
59	 7.8625000000e+001	 9.93836e-004
60	 7.8687500000e+001	 1.04048e-003
61	 7.8750000000e+001	 1.26987e-003
62	 7.8812500000e+001	 8.95827e-004
63	 7.8875000000e+001	 9.65462e-004
64	 7.8937500000e+001	 1.02349e-003
65	 7.9000000000e+001	 7.95357e-004
66	 7.9062500000e+001	 1.46057e-003
67	 7.9125000000e+001	 9.48039e-004
