Header Size:	 78	 	 
Pulse Version:	 42	 	 
Decimal Symbol:	.	 	 
Date Format:	dd-MM-yyyy	 	 
Time Format:	HH:mm:ss:mmm	 	 
Data Type:	Complex	 	 
Slice:	False	 	 
Z-Axis type:	Linear	 	 
Z-Axis size:	1	 	 
Z-Axis unit:	 	 	 
Z-Axis first value:	 0.0000000000e+000	 	 
Z-Axis delta:	 1.0000000000e+000	 	 
X-Axis type:	Linear	 	 
X-Axis size:	3201	 	 
X-Axis unit:	Hz	 	 
X-Axis first value:	 7.5000000000e+001	 	 
X-Axis delta:	 6.2500000000e-002	 	 
	 	 	 
AmplitudeUnit:	Pa/Pa	 	 
Analyzer:	FFT_Spectrum_Averaging	 	 
AnalyzerName:	FFT Analyzer	 	 
	 	 	 
	 	 	 
Bipolar:	True	 	 
CenterFrequency:	 1.7500000000e+002	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
dBReference:	 1.0000000000e+000	 	 
	 	 	 
	 	 	 
	 	 	 
Domain:	1	 	 
Function:	Frequency Response	 	 
	 	 	 
InputRange:	 2.2376582278e+002	 	 
	 	 	 
	 	 	 
MultiBufferName:	Input	 	 
NBW:	 1.5000000000e+000	 	 
	 	 	 
OverlapFailed:	False	 	 
Overrun:	False	 	 
Power:	False	 	 
	 	 	 
Ratio:	True	 	 
RecordLength:	 1.6000000000e+001	 	 
ReducedSize:	True	 	 
Ref_Signal:	p_A_source	 	 
	 	 	 
	 	 	 
RefSignalUnit:	Pa	 	 
	 	 	 
	 	 	 
Signal:	p_B_source	 	 
	 	 	 
SignalUnit:	Pa	 	 
	 	 	 
	 	 	 
	 	 	 
Title:	Frequency Response H1(p_B_source,p_A_source) - Input	 	 
Title1:	Working : Input : Input : FFT Analyzer	 	 
	 	 	 
	 	 	 
	 	 	 
ZoomOn:	True	 	 
	 	 	 
TemplateName:	Working	 	 
MeasurementName:	Input	 	 
MeasurementSlice:	False	 	 
	 	 	 
	 	 	 
	 	 	 
EnvelopeOn:	False	 	 
	 	 	 
	 	 	 
	 	 	 
Z-index:	 	1	 
Date:	 	05-03-2025	 
Time:	 	12:03:30:043	 
Relative time:	 	 0.00000e+000	 
Z-axis:	 	 0.0000000000e+000	 
1	 7.5000000000e+001	 6.66801e-001	 1.42762e-002
2	 7.5062500000e+001	 6.60300e-001	 1.92313e-002
3	 7.5125000000e+001	 6.59288e-001	 1.80300e-002
4	 7.5187500000e+001	 6.60228e-001	 1.80009e-002
5	 7.5250000000e+001	 6.58830e-001	 2.11064e-002
6	 7.5312500000e+001	 6.54750e-001	 2.75942e-002
7	 7.5375000000e+001	 6.56297e-001	 3.02730e-002
8	 7.5437500000e+001	 6.56257e-001	 3.38126e-002
9	 7.5500000000e+001	 6.53816e-001	 3.67672e-002
10	 7.5562500000e+001	 6.60143e-001	 3.80561e-002
11	 7.5625000000e+001	 6.68899e-001	 4.43085e-002
12	 7.5687500000e+001	 6.74739e-001	 4.64026e-002
13	 7.5750000000e+001	 6.82608e-001	 4.50024e-002
14	 7.5812500000e+001	 6.84528e-001	 4.28740e-002
15	 7.5875000000e+001	 6.86264e-001	 4.07939e-002
16	 7.5937500000e+001	 6.90098e-001	 3.70050e-002
17	 7.6000000000e+001	 6.90767e-001	 3.45233e-002
18	 7.6062500000e+001	 6.90908e-001	 2.95499e-002
19	 7.6125000000e+001	 6.88387e-001	 2.80155e-002
20	 7.6187500000e+001	 6.88412e-001	 2.87542e-002
21	 7.6250000000e+001	 6.88078e-001	 2.58948e-002
22	 7.6312500000e+001	 6.89973e-001	 2.41558e-002
23	 7.6375000000e+001	 6.90260e-001	 2.31192e-002
24	 7.6437500000e+001	 6.91576e-001	 2.42264e-002
25	 7.6500000000e+001	 6.90819e-001	 2.11578e-002
26	 7.6562500000e+001	 6.89151e-001	 2.30571e-002
27	 7.6625000000e+001	 6.89309e-001	 2.21167e-002
28	 7.6687500000e+001	 6.84853e-001	 1.94645e-002
29	 7.6750000000e+001	 6.83964e-001	 1.70501e-002
30	 7.6812500000e+001	 6.86173e-001	 2.17408e-002
31	 7.6875000000e+001	 6.85913e-001	 2.12369e-002
32	 7.6937500000e+001	 6.86004e-001	 1.67960e-002
33	 7.7000000000e+001	 6.83774e-001	 1.47883e-002
34	 7.7062500000e+001	 6.84265e-001	 2.10140e-002
35	 7.7125000000e+001	 6.80356e-001	 1.89403e-002
36	 7.7187500000e+001	 6.78752e-001	 1.57752e-002
37	 7.7250000000e+001	 6.83494e-001	 1.62721e-002
38	 7.7312500000e+001	 6.86191e-001	 1.70885e-002
39	 7.7375000000e+001	 6.83446e-001	 1.72116e-002
40	 7.7437500000e+001	 6.79973e-001	 2.02623e-002
41	 7.7500000000e+001	 6.81310e-001	 2.15136e-002
42	 7.7562500000e+001	 6.83626e-001	 2.01582e-002
