Header Size:	 78	 	 
Pulse Version:	 42	 	 
Decimal Symbol:	.	 	 
Date Format:	dd-MM-yyyy	 	 
Time Format:	HH:mm:ss:mmm	 	 
Data Type:	Complex	 	 
Slice:	False	 	 
Z-Axis type:	Linear	 	 
Z-Axis size:	1	 	 
Z-Axis unit:	 	 	 
Z-Axis first value:	 0.0000000000e+000	 	 
Z-Axis delta:	 1.0000000000e+000	 	 
X-Axis type:	Linear	 	 
X-Axis size:	3201	 	 
X-Axis unit:	Hz	 	 
X-Axis first value:	 7.5000000000e+001	 	 
X-Axis delta:	 6.2500000000e-002	 	 
	 	 	 
AmplitudeUnit:	Pa/Pa	 	 
Analyzer:	FFT_Spectrum_Averaging	 	 
AnalyzerName:	FFT Analyzer	 	 
	 	 	 
	 	 	 
Bipolar:	True	 	 
CenterFrequency:	 1.7500000000e+002	 	 
	 	 	 
	 	 	 
	 	 	 
	 	 	 
dBReference:	 1.0000000000e+000	 	 
	 	 	 
	 	 	 
	 	 	 
Domain:	1	 	 
Function:	Frequency Response	 	 
	 	 	 
InputRange:	 2.2376582278e+002	 	 
	 	 	 
	 	 	 
MultiBufferName:	Input	 	 
NBW:	 1.5000000000e+000	 	 
	 	 	 
OverlapFailed:	False	 	 
Overrun:	False	 	 
Power:	False	 	 
	 	 	 
Ratio:	True	 	 
RecordLength:	 1.6000000000e+001	 	 
ReducedSize:	True	 	 
Ref_Signal:	p_B_source	 	 
	 	 	 
	 	 	 
RefSignalUnit:	Pa	 	 
	 	 	 
	 	 	 
Signal:	Pressure C	 	 
	 	 	 
SignalUnit:	Pa	 	 
	 	 	 
	 	 	 
	 	 	 
Title:	Frequency Response H1(Pressure C,p_B_source) - Input	 	 
Title1:	Working : Input : Input : FFT Analyzer	 	 
	 	 	 
	 	 	 
	 	 	 
ZoomOn:	True	 	 
	 	 	 
TemplateName:	Working	 	 
MeasurementName:	Input	 	 
MeasurementSlice:	False	 	 
	 	 	 
	 	 	 
	 	 	 
EnvelopeOn:	False	 	 
	 	 	 
	 	 	 
	 	 	 
Z-index:	 	1	 
Date:	 	05-03-2025	 
Time:	 	12:34:02:987	 
Relative time:	 	 0.00000e+000	 
Z-axis:	 	 0.0000000000e+000	 
1	 7.5000000000e+001	-4.01013e-003	 7.49705e-004
2	 7.5062500000e+001	-4.06717e-003	 8.48554e-004
3	 7.5125000000e+001	-4.01669e-003	 9.09217e-004
4	 7.5187500000e+001	-4.07786e-003	 9.15868e-004
5	 7.5250000000e+001	-4.13749e-003	 9.13653e-004
6	 7.5312500000e+001	-4.12896e-003	 9.58838e-004
7	 7.5375000000e+001	-4.22478e-003	 1.01814e-003
8	 7.5437500000e+001	-4.26183e-003	 1.07411e-003
9	 7.5500000000e+001	-4.22423e-003	 1.18068e-003
10	 7.5562500000e+001	-4.24966e-003	 1.32024e-003
11	 7.5625000000e+001	-4.23352e-003	 1.37660e-003
12	 7.5687500000e+001	-4.19003e-003	 1.50198e-003
13	 7.5750000000e+001	-4.11129e-003	 1.55817e-003
14	 7.5812500000e+001	-4.12639e-003	 1.56896e-003
15	 7.5875000000e+001	-4.12230e-003	 1.61251e-003
16	 7.5937500000e+001	-4.12620e-003	 1.57267e-003
17	 7.6000000000e+001	-4.14421e-003	 1.61179e-003
18	 7.6062500000e+001	-4.23030e-003	 1.70929e-003
19	 7.6125000000e+001	-4.30543e-003	 1.75938e-003
20	 7.6187500000e+001	-4.26659e-003	 1.80733e-003
21	 7.6250000000e+001	-4.23067e-003	 1.84083e-003
22	 7.6312500000e+001	-4.35798e-003	 1.81073e-003
23	 7.6375000000e+001	-4.50083e-003	 1.82891e-003
24	 7.6437500000e+001	-4.42491e-003	 1.91398e-003
25	 7.6500000000e+001	-4.40616e-003	 2.04683e-003
26	 7.6562500000e+001	-4.55571e-003	 2.00042e-003
27	 7.6625000000e+001	-4.68615e-003	 2.11776e-003
28	 7.6687500000e+001	-4.72620e-003	 2.19034e-003
29	 7.6750000000e+001	-4.91764e-003	 2.31531e-003
30	 7.6812500000e+001	-4.99243e-003	 2.44414e-003
31	 7.6875000000e+001	-5.07034e-003	 2.60407e-003
32	 7.6937500000e+001	-5.12878e-003	 2.69028e-003
33	 7.7000000000e+001	-5.18554e-003	 2.69340e-003
34	 7.7062500000e+001	-5.07112e-003	 2.93101e-003
35	 7.7125000000e+001	-5.23721e-003	 3.20535e-003
36	 7.7187500000e+001	-5.28816e-003	 3.20325e-003
37	 7.7250000000e+001	-5.27953e-003	 3.37996e-003
38	 7.7312500000e+001	-5.49571e-003	 3.61321e-003
39	 7.7375000000e+001	-5.86886e-003	 3.92856e-003
40	 7.7437500000e+001	-6.15820e-003	 4.17703e-003
41	 7.7500000000e+001	-6.30512e-003	 4.43723e-003
42	 7.7562500000e+001	-6.20608e-003	 5.01047e-003
